bcode,name
1,Central Board of Secondary Education (CBSE)
2,Council for the Indian School Certificate Examinations (CISCE)
3,National Institute of Open Schooling (NIOS)
4,Maharashtra State Board of Secondary and Higher Secondary Education
5,Gujarat Secondary and Higher Secondary Education Board
6,Board of Secondary Education Rajasthan
7,Board of Secondary Education Madhya Pradesh
8,Uttar Pradesh Madhyamik Shiksha Parishad
9,Bihar School Examination Board
10,Punjab School Education Board
11,Board of School Education Haryana
12,West Bengal Board of Secondary Education
13,West Bengal Council of Higher Secondary Education
14,Karnataka School Examination and Assessment Board
15,University of Mumbai
16,Savitribai Phule Pune University
17,Shivaji University
18,Rashtrasant Tukadoji Maharaj Nagpur University
19,University of Delhi
20,Gujarat University
21,University of Rajasthan
22,University of Calcutta
23,University of Madras
24,Anna University
25,Visvesvaraya Technological University
26,Bangalore University
27,Osmania University
28,Andhra University
29,University of Kerala
30,Maharashtra State Board of Technical Education (MSBTE)
