code,name
1,Secondary School Certificate (10th)
2,Higher Secondary Certificate (12th)
3,Diploma in Engineering
4,Bachelor of Arts (BA)
5,Bachelor of Commerce (BCom)
6,Bachelor of Science (BSc)
7,Bachelor of Business Administration (BBA)
8,Bachelor of Computer Applications (BCA)
9,Bachelor of Technology (BTech)
10,Bachelor of Engineering (BE)
11,Bachelor of Architecture (BArch)
12,Bachelor of Pharmacy (BPharm)
13,Bachelor of Laws (LLB)
14,Bachelor of Education (BEd)
15,Bachelor of Medicine and Bachelor of Surgery (MBBS)
16,Bachelor of Dental Surgery (BDS)
17,Bachelor of Science in Nursing (BSc Nursing)
18,Master of Arts (MA)
19,Master of Commerce (MCom)
20,Master of Science (MSc)
21,Master of Business Administration (MBA)
22,Master of Computer Applications (MCA)
23,Master of Technology (MTech)
24,Master of Engineering (ME)
25,Master of Pharmacy (MPharm)
26,Master of Laws (LLM)
27,Doctor of Medicine (MD)
28,Master of Surgery (MS)
29,Doctor of Philosophy (PhD)
30,Post Graduate Diploma (PG Diploma)
